pref,temp,snow,rain
北海道,9.5,131,1282.0
青森県,11.0,117,1553.0
岩手県,11.0,106,1322.0
宮城県,13.6,63,1082.0
秋田県,12.3,101,2016.5
山形県,12.6,89,1124.0
福島県,14.2,73,828.0
茨城県,15.3,10,1282.5
栃木県,15.2,17,1257.0
群馬県,16.1,16,1046.5
埼玉県,16.4,4,1056.0
千葉県,17.2,17,1261.0
東京都,16.8,11,1445.5
神奈川県,17.1,6,1573.5
新潟県,14.3,79,1795.5
富山県,15.0,64,2751.0
石川県,15.5,59,2765.5
福井県,15.3,60,2632.0
山梨県,16.0,6,1153.5
長野県,13.0,73,886.0
岐阜県,16.9,28,2087.0
静岡県,17.7,2,2442.0
愛知県,16.9,17,1695.5
三重県,16.9,20,1720.0
滋賀県,15.7,33,1863.0
京都府,16.9,24,1770.0
大阪府,17.4,12,1651.5
兵庫県,17.4,19,2037.5
奈良県,16.2,17,1646.5
和歌山県,17.3,19,1950.5
鳥取県,15.7,48,2183.5
島根県,15.6,43,1976.5
岡山県,16.3,16,1410.0
広島県,16.8,32,1878.5
山口県,16.0,47,1939.5
徳島県,17.1,12,1760.0
香川県,17.0,22,1575.0
愛媛県,17.1,22,1796.5
高知県,17.4,3,3092.5
福岡県,17.7,28,1617.0
佐賀県,17.4,20,1877.0
長崎県,17.7,21,1821.0
熊本県,17.5,19,1950.5
大分県,17.1,14,1663.0
宮崎県,17.8,2,3167.5
鹿児島県,19.0,9,2397.0
沖縄県,23.5,0,2469.5
